V,I,P,Irr,T
1.9118,2.798014769,5.349244636,100,40
2.13975,2.79794141,5.986895133,100,40
2.3677,2.797868051,6.624512185,100,40
2.59565,2.797794692,7.262095793,100,40
2.8236,2.797721333,7.899645957,100,40
3.05155,2.797647974,8.537162676,100,40
3.2795,2.797574615,9.174645951,100,40
3.50745,2.797501256,9.812095781,100,40
3.7354,2.797427897,10.44951217,100,40
3.96335,2.797354538,11.08689511,100,40
4.1913,2.797281179,11.72424461,100,40
4.41925,2.79720782,12.36156066,100,40
4.6472,2.797134461,12.99884327,100,40
4.87515,2.797061102,13.63609243,100,40
5.1031,2.796987743,14.27330815,100,40
5.33105,2.796914383,14.91049042,100,40
5.559,2.796841024,15.54763925,100,40
5.78695,2.796767665,16.18475464,100,40
6.0149,2.796694306,16.82183658,100,40
6.24285,2.796620947,17.45888508,100,40
6.4708,2.796547588,18.09590013,100,40
6.69875,2.796474228,18.73288174,100,40
6.9267,2.796400869,19.3698299,100,40
7.15465,2.79632751,20.00674462,100,40
7.3826,2.796254151,20.64362589,100,40
7.61055,2.796180791,21.28047372,100,40
7.8385,2.796107432,21.91728811,100,40
8.06645,2.796034073,22.55406905,100,40
8.2944,2.795960713,23.19081654,100,40
8.52235,2.795887354,23.82753059,100,40
8.7503,2.795813995,24.4642112,100,40
8.97825,2.795740635,25.10085836,100,40
9.2062,2.795667276,25.73747208,100,40
9.43415,2.795593916,26.37405235,100,40
9.6621,2.795520557,27.01059917,100,40
9.89005,2.795447197,27.64711256,100,40
10.118,2.795373838,28.28359249,100,40
10.34595,2.795300478,28.92003899,100,40
10.5739,2.795227119,29.55645203,100,40
10.80185,2.795153759,30.19283164,100,40
11.0298,2.7950804,30.82917779,100,40
11.25775,2.79500704,31.46549051,100,40
11.4857,2.79493368,32.10176977,100,40
11.71365,2.794860321,32.7380156,100,40
11.9416,2.794786961,33.37422797,100,40
12.16955,2.794713601,34.01040691,100,40
12.3975,2.794640242,34.64655239,100,40
12.62545,2.794566882,35.28266444,100,40
12.8534,2.794493522,35.91874303,100,40
13.08135,2.794420162,36.55478819,100,40
13.3093,2.794346802,37.19079989,100,40
13.53725,2.794273442,37.82677816,100,40
13.7652,2.794200082,38.46272297,100,40
13.99315,2.794126722,39.09863434,100,40
14.2211,2.794053362,39.73451227,100,40
14.44905,2.793980002,40.37035675,100,40
14.677,2.793906642,41.00616779,100,40
14.90495,2.793833282,41.64194538,100,40
15.1329,2.793759922,42.27768952,100,40
15.36085,2.793686562,42.91340022,100,40
15.5888,2.793613201,43.54907747,100,40
15.81675,2.793539841,44.18472128,100,40
16.0447,2.793466481,44.82033164,100,40
16.27265,2.79339312,45.45590856,100,40
16.5006,2.79331976,46.09145203,100,40
16.72855,2.793246399,46.72696205,100,40
16.9565,2.793173039,47.36243863,100,40
17.18445,2.793099678,47.99788176,100,40
17.4124,2.793026317,48.63329145,100,40
17.64035,2.792952957,49.26866769,100,40
17.8683,2.792879596,49.90401049,100,40
18.09625,2.792806235,50.53931983,100,40
18.3242,2.792732874,51.17459574,100,40
18.55215,2.792659513,51.80983819,100,40
18.7801,2.792586152,52.4450472,100,40
19.00805,2.792512791,53.08022276,100,40
19.236,2.79243943,53.71536488,100,40
19.46395,2.792366069,54.35047355,100,40
19.6919,2.792292708,54.98554877,100,40
19.91985,2.792219346,55.62059055,100,40
20.1478,2.792145985,56.25559888,100,40
20.37575,2.792072624,56.89057376,100,40
20.6037,2.791999262,57.5255152,100,40
20.83165,2.7919259,58.16042318,100,40
21.0596,2.791852539,58.79529772,100,40
21.28755,2.791779177,59.43013882,100,40
21.5155,2.791705815,60.06494646,100,40
21.74345,2.791632453,60.69972066,100,40
21.9714,2.791559091,61.33446141,100,40
22.19935,2.791485729,61.96916872,100,40
22.4273,2.791412367,62.60384257,100,40
22.65525,2.791339004,63.23848298,100,40
22.8832,2.791265642,63.87308994,100,40
23.11115,2.791192279,64.50766345,100,40
23.3391,2.791118917,65.14220351,100,40
23.56705,2.791045554,65.77671013,100,40
23.795,2.790972191,66.41118329,100,40
24.02295,2.790898828,67.04562301,100,40
24.2509,2.790825465,67.68002928,100,40
24.47885,2.790752102,68.3144021,100,40
24.7068,2.790678739,68.94874146,100,40
24.93475,2.790605375,69.58304738,100,40
25.1627,2.790532012,70.21731986,100,40
25.39065,2.790458648,70.85155888,100,40
25.6186,2.790385284,71.48576445,100,40
25.84655,2.79031192,72.11993657,100,40
26.0745,2.790238556,72.75407524,100,40
26.30245,2.790165192,73.38818046,100,40
26.5304,2.790091828,74.02225223,100,40
26.75835,2.790018463,74.65629055,100,40
26.9863,2.789945099,75.29029541,100,40
27.21425,2.789871734,75.92426683,100,40
27.4422,2.789798369,76.55820479,100,40
27.67015,2.789725004,77.19210931,100,40
27.8981,2.789651638,77.82598037,100,40
28.12605,2.789578273,78.45981797,100,40
28.354,2.789504907,79.09362213,100,40
28.58195,2.789431541,79.72739283,100,40
28.8099,2.789358175,80.36113008,100,40
29.03785,2.789284809,80.99483388,100,40
29.2658,2.789211442,81.62850422,100,40
29.49375,2.789138075,82.26214111,100,40
29.7217,2.789064709,82.89574455,100,40
29.94965,2.788991341,83.52931453,100,40
30.1776,2.788917974,84.16285105,100,40
30.40555,2.788844606,84.79635412,100,40
30.6335,2.788771239,85.42982374,100,40
30.86145,2.788697871,86.0632599,100,40
31.0894,2.788624502,86.6966626,100,40
31.31735,2.788551134,87.33003185,100,40
31.5453,2.788477765,87.96336763,100,40
31.77325,2.788404396,88.59666997,100,40
32.0012,2.788331026,89.22993884,100,40
32.22915,2.788257657,89.86317425,100,40
32.4571,2.788184287,90.49637621,100,40
32.68505,2.788110916,91.12954471,100,40
32.913,2.788037546,91.76267975,100,40
33.14095,2.787964175,92.39578132,100,40
33.3689,2.787890804,93.02884944,100,40
33.59685,2.787817432,93.6618841,100,40
33.8248,2.78774406,94.29488529,100,40
34.05275,2.787670688,94.92785302,100,40
34.2807,2.787597316,95.56078729,100,40
34.50865,2.787523943,96.1936881,100,40
34.7366,2.787450569,96.82655544,100,40
34.96455,2.787377195,97.45938932,100,40
35.1925,2.787303821,98.09218973,100,40
35.42045,2.787230447,98.72495668,100,40
35.6484,2.787157072,99.35769016,100,40
35.87635,2.787083696,99.99039017,100,40
36.1043,2.787010321,100.6230567,100,40
36.33225,2.786936944,101.2556898,100,40
36.5602,2.786863568,101.8882894,100,40
36.78815,2.78679019,102.5208555,100,40
37.0161,2.786716813,103.1533882,100,40
37.24405,2.786643434,103.7858874,100,40
37.472,2.786570056,104.4183531,100,40
37.69995,2.786496676,105.0507854,100,40
