V,I,P,Irr,T
1.9118,2.819538265,5.390393254,100.0,50.0
2.13975,2.81946467,6.032949528,100.0,50.0
2.3677,2.819391076,6.67547225,100.0,50.0
2.59565,2.819317482,7.317961421,100.0,50.0
2.8236,2.819243887,7.96041704,100.0,50.0
3.05155,2.819170293,8.602839107,100.0,50.0
3.2795,2.819096699,9.245227623,100.0,50.0
3.50745,2.819023104,9.887582587,100.0,50.0
3.7354,2.81894951,10.529904,100.0,50.0
3.96335,2.818875915,11.17219186,100.0,50.0
4.1913,2.818802321,11.81444617,100.0,50.0
4.41925,2.818728727,12.45666693,100.0,50.0
4.6472,2.818655132,13.09885413,100.0,50.0
4.87515,2.818581538,13.74100779,100.0,50.0
5.1031,2.818507944,14.38312789,100.0,50.0
5.33105,2.818434349,15.02521444,100.0,50.0
5.559,2.818360755,15.66726744,100.0,50.0
5.78695,2.818287161,16.30928688,100.0,50.0
6.0149,2.818213566,16.95127278,100.0,50.0
6.24285,2.818139972,17.59322512,100.0,50.0
6.4708,2.818066377,18.23514392,100.0,50.0
6.69875,2.817992783,18.87702916,100.0,50.0
6.9267,2.817919189,19.51888084,100.0,50.0
7.15465,2.817845594,20.16069898,100.0,50.0
7.3826,2.817772,20.80248357,100.0,50.0
7.61055,2.817698405,21.4442346,100.0,50.0
7.8385,2.817624811,22.08595208,100.0,50.0
8.06645,2.817551217,22.72763601,100.0,50.0
8.2944,2.817477622,23.36928639,100.0,50.0
8.52235,2.817404028,24.01090322,100.0,50.0
8.7503,2.817330433,24.65248649,100.0,50.0
8.97825,2.817256839,25.29403622,100.0,50.0
9.2062,2.817183245,25.93555239,100.0,50.0
9.43415,2.81710965,26.57703501,100.0,50.0
9.6621,2.817036056,27.21848407,100.0,50.0
9.89005,2.816962461,27.85989959,100.0,50.0
10.118,2.816888867,28.50128156,100.0,50.0
10.34595,2.816815273,29.14262997,100.0,50.0
10.5739,2.816741678,29.78394483,100.0,50.0
10.80185,2.816668084,30.42522614,100.0,50.0
11.0298,2.816594489,31.0664739,100.0,50.0
11.25775,2.816520895,31.7076881,100.0,50.0
11.4857,2.8164473,32.34886876,100.0,50.0
11.71365,2.816373706,32.99001586,100.0,50.0
11.9416,2.816300111,33.63112941,100.0,50.0
12.16955,2.816226517,34.27220941,100.0,50.0
12.3975,2.816152922,34.91325586,100.0,50.0
12.62545,2.816079328,35.55426875,100.0,50.0
12.8534,2.816005734,36.19524809,100.0,50.0
13.08135,2.815932139,36.83619389,100.0,50.0
13.3093,2.815858545,37.47710613,100.0,50.0
13.53725,2.81578495,38.11798481,100.0,50.0
13.7652,2.815711356,38.75882995,100.0,50.0
13.99315,2.815637761,39.39964154,100.0,50.0
14.2211,2.815564166,40.04041957,100.0,50.0
14.44905,2.815490572,40.68116405,100.0,50.0
14.677,2.815416977,41.32187498,100.0,50.0
14.90495,2.815343383,41.96255236,100.0,50.0
15.1329,2.815269788,42.60319618,100.0,50.0
15.36085,2.815196194,43.24380645,100.0,50.0
15.5888,2.815122599,43.88438318,100.0,50.0
15.81675,2.815049005,44.52492635,100.0,50.0
16.0447,2.81497541,45.16543596,100.0,50.0
16.27265,2.814901816,45.80591203,100.0,50.0
16.5006,2.814828221,46.44635454,100.0,50.0
16.72855,2.814754626,47.08676351,100.0,50.0
16.9565,2.814681032,47.72713892,100.0,50.0
17.18445,2.814607437,48.36748077,100.0,50.0
17.4124,2.814533843,49.00778908,100.0,50.0
17.64035,2.814460248,49.64806384,100.0,50.0
17.8683,2.814386653,50.28830504,100.0,50.0
18.09625,2.814313059,50.92851269,100.0,50.0
18.3242,2.814239464,51.56868679,100.0,50.0
18.55215,2.814165869,52.20882733,100.0,50.0
18.7801,2.814092275,52.84893433,100.0,50.0
19.00805,2.81401868,53.48900777,100.0,50.0
19.236,2.813945085,54.12904766,100.0,50.0
19.46395,2.813871491,54.769054,100.0,50.0
19.6919,2.813797896,55.40902679,100.0,50.0
19.91985,2.813724301,56.04896602,100.0,50.0
20.1478,2.813650706,56.6888717,100.0,50.0
20.37575,2.813577112,57.32874383,100.0,50.0
20.6037,2.813503517,57.96858241,100.0,50.0
20.83165,2.813429922,58.60838744,100.0,50.0
21.0596,2.813356327,59.24815891,100.0,50.0
21.28755,2.813282733,59.88789683,100.0,50.0
21.5155,2.813209138,60.5276012,100.0,50.0
21.74345,2.813135543,61.16727202,100.0,50.0
21.9714,2.813061948,61.80690929,100.0,50.0
22.19935,2.812988353,62.446513,100.0,50.0
22.4273,2.812914758,63.08608316,100.0,50.0
22.65525,2.812841164,63.72561977,100.0,50.0
22.8832,2.812767569,64.36512283,100.0,50.0
23.11115,2.812693974,65.00459233,100.0,50.0
23.3391,2.812620379,65.64402828,100.0,50.0
23.56705,2.812546784,66.28343068,100.0,50.0
23.795,2.812473189,66.92279953,100.0,50.0
24.02295,2.812399594,67.56213483,100.0,50.0
24.2509,2.812325999,68.20143657,100.0,50.0
24.47885,2.812252404,68.84070476,100.0,50.0
24.7068,2.812178809,69.4799394,100.0,50.0
24.93475,2.812105214,70.11914048,100.0,50.0
25.1627,2.812031619,70.75830801,100.0,50.0
25.39065,2.811958024,71.39744199,100.0,50.0
25.6186,2.811884429,72.03654242,100.0,50.0
25.84655,2.811810833,72.6756093,100.0,50.0
26.0745,2.811737238,73.31464262,100.0,50.0
26.30245,2.811663643,73.95364239,100.0,50.0
26.5304,2.811590048,74.59260861,100.0,50.0
26.75835,2.811516453,75.23154127,100.0,50.0
26.9863,2.811442857,75.87044038,100.0,50.0
27.21425,2.811369262,76.50930594,100.0,50.0
27.4422,2.811295667,77.14813795,100.0,50.0
27.67015,2.811222072,77.7869364,100.0,50.0
27.8981,2.811148476,78.4257013,100.0,50.0
28.12605,2.811074881,79.06443265,100.0,50.0
28.354,2.811001285,79.70313045,100.0,50.0
28.58195,2.81092769,80.34179469,100.0,50.0
28.8099,2.810854094,80.98042538,100.0,50.0
29.03785,2.810780499,81.61902251,100.0,50.0
29.2658,2.810706903,82.25758609,100.0,50.0
29.49375,2.810633308,82.89611612,100.0,50.0
29.7217,2.810559712,83.5346126,100.0,50.0
29.94965,2.810486117,84.17307552,100.0,50.0
30.1776,2.810412521,84.81150489,100.0,50.0
30.40555,2.810338925,85.44990071,100.0,50.0
30.6335,2.81026533,86.08826297,100.0,50.0
30.86145,2.810191734,86.72659168,100.0,50.0
31.0894,2.810118138,87.36488684,100.0,50.0
31.31735,2.810044542,88.00314844,100.0,50.0
31.5453,2.809970946,88.64137649,100.0,50.0
31.77325,2.80989735,89.27957098,100.0,50.0
32.0012,2.809823754,89.91773193,100.0,50.0
32.22915,2.809750158,90.55585931,100.0,50.0
32.4571,2.809676562,91.19395315,100.0,50.0
32.68505,2.809602966,91.83201343,100.0,50.0
32.913,2.80952937,92.47004015,100.0,50.0
33.14095,2.809455774,93.10803332,100.0,50.0
33.3689,2.809382177,93.74599294,100.0,50.0
33.59685,2.809308581,94.38391901,100.0,50.0
33.8248,2.809234985,95.02181151,100.0,50.0
34.05275,2.809161388,95.65967047,100.0,50.0
34.2807,2.809087792,96.29749587,100.0,50.0
34.50865,2.809014195,96.93528771,100.0,50.0
34.7366,2.808940599,97.57304601,100.0,50.0
34.96455,2.808867002,98.21077074,100.0,50.0
35.1925,2.808793406,98.84846192,100.0,50.0
35.42045,2.808719809,99.48611955,100.0,50.0
35.6484,2.808646212,100.1237436,100.0,50.0
35.87635,2.808572615,100.7613341,100.0,50.0
36.1043,2.808499018,101.3988911,100.0,50.0
36.33225,2.808425421,102.0364145,100.0,50.0
36.5602,2.808351824,102.6739044,100.0,50.0
36.78815,2.808278227,103.3113606,100.0,50.0
37.0161,2.80820463,103.9487834,100.0,50.0
37.24405,2.808131032,104.5861726,100.0,50.0
37.472,2.808057435,105.2235282,100.0,50.0
37.69995,2.807983837,105.8608503,100.0,50.0
37.9279,2.80791024,106.4981388,100.0,50.0
38.15585,2.807836642,107.1353937,100.0,50.0
38.3838,2.807763044,107.7726151,100.0,50.0
38.61175,2.807689447,108.409803,100.0,50.0
38.8397,2.807615849,109.0469573,100.0,50.0
39.06765,2.807542251,109.684078,100.0,50.0
39.2956,2.807468653,110.3211652,100.0,50.0
39.52355,2.807395054,110.9582188,100.0,50.0
39.7515,2.807321456,111.5952389,100.0,50.0
39.97945,2.807247858,112.2322254,100.0,50.0
40.2074,2.807174259,112.8691783,100.0,50.0
40.43535,2.807100661,113.5060977,100.0,50.0
40.6633,2.807027062,114.1429835,100.0,50.0
40.89125,2.806953463,114.7798358,100.0,50.0
41.1192,2.806879864,115.4166545,100.0,50.0
41.34715,2.806806265,116.0534397,100.0,50.0
41.5751,2.806732666,116.6901913,100.0,50.0
41.80305,2.806659066,117.3269093,100.0,50.0
42.031,2.806585467,117.9635938,100.0,50.0
42.25895,2.806511867,118.6002447,100.0,50.0
42.4869,2.806438268,119.236862,100.0,50.0
42.71485,2.806364668,119.8734458,100.0,50.0
42.9428,2.806291068,120.5099961,100.0,50.0
43.17075,2.806217468,121.1465127,100.0,50.0
43.3987,2.806143867,121.7829959,100.0,50.0
43.62665,2.806070267,122.4194454,100.0,50.0
43.8546,2.805996666,123.0558614,100.0,50.0
44.08255,2.805923065,123.6922438,100.0,50.0
44.3105,2.805849465,124.3285927,100.0,50.0
44.53845,2.805775863,124.964908,100.0,50.0
44.7664,2.805702262,125.6011897,100.0,50.0
44.99435,2.805628661,126.2374379,100.0,50.0
45.2223,2.805555059,126.8736525,100.0,50.0
45.45025,2.805481457,127.5098336,100.0,50.0
45.6782,2.805407855,128.1459811,100.0,50.0
45.90615,2.805334253,128.782095,100.0,50.0
46.1341,2.80526065,129.4181754,100.0,50.0
46.36205,2.805187048,130.0542222,100.0,50.0
46.59,2.805113445,130.6902354,100.0,50.0
46.81795,2.805039842,131.3262151,100.0,50.0
47.0459,2.804966238,131.9621612,100.0,50.0
47.27385,2.804892635,132.5980737,100.0,50.0
47.5018,2.804819031,133.2339526,100.0,50.0
47.72975,2.804745427,133.869798,100.0,50.0
47.9577,2.804671823,134.5056099,100.0,50.0
48.18565,2.804598218,135.1413881,100.0,50.0
48.4136,2.804524613,135.7771328,100.0,50.0
48.64155,2.804451008,136.4128439,100.0,50.0
48.8695,2.804377403,137.0485215,100.0,50.0
49.09745,2.804303797,137.6841655,100.0,50.0
49.3254,2.804230191,138.3197759,100.0,50.0
49.55335,2.804156585,138.9553527,100.0,50.0
49.7813,2.804082979,139.590896,100.0,50.0
50.00925,2.804009372,140.2264057,100.0,50.0
50.2372,2.803935765,140.8618818,100.0,50.0
50.46515,2.803862157,141.4973243,100.0,50.0
50.6931,2.803788549,142.1327333,100.0,50.0
50.92105,2.803714941,142.7681087,100.0,50.0
51.149,2.803641332,143.4034505,100.0,50.0
51.37695,2.803567724,144.0387588,100.0,50.0
51.6049,2.803494114,144.6740334,100.0,50.0
51.83285,2.803420505,145.3092745,100.0,50.0
52.0608,2.803346894,145.944482,100.0,50.0
52.28875,2.803273284,146.5796559,100.0,50.0
52.5167,2.803199673,147.2147963,100.0,50.0
52.74465,2.803126062,147.849903,100.0,50.0
52.9726,2.80305245,148.4849762,100.0,50.0
53.20055,2.802978838,149.1200158,100.0,50.0
53.4285,2.802905225,149.7550218,100.0,50.0
53.65645,2.802831612,150.3899942,100.0,50.0
53.8844,2.802757998,151.0249331,100.0,50.0
54.11235,2.802684384,151.6598383,100.0,50.0
54.3403,2.80261077,152.29471,100.0,50.0
54.56825,2.802537154,152.9295481,100.0,50.0
54.7962,2.802463539,153.5643526,100.0,50.0
55.02415,2.802389922,154.1991235,100.0,50.0
55.2521,2.802316306,154.8338608,100.0,50.0
55.48005,2.802242688,155.4685645,100.0,50.0
55.708,2.80216907,156.1032346,100.0,50.0
55.93595,2.802095452,156.7378711,100.0,50.0
56.1639,2.802021832,157.372474,100.0,50.0
56.39185,2.801948213,158.0070433,100.0,50.0
56.6198,2.801874592,158.641579,100.0,50.0
56.84775,2.801800971,159.2760811,100.0,50.0
57.0757,2.801727349,159.9105497,100.0,50.0
57.30365,2.801653726,160.5449846,100.0,50.0
57.5316,2.801580103,161.1793859,100.0,50.0
57.75955,2.801506479,161.8137536,100.0,50.0
57.9875,2.801432854,162.4480876,100.0,50.0
58.21545,2.801359229,163.0823881,100.0,50.0
58.4434,2.801285602,163.716655,100.0,50.0
58.67135,2.801211975,164.3508882,100.0,50.0
58.8993,2.801138347,164.9850878,100.0,50.0
59.12725,2.801064718,165.6192538,100.0,50.0
59.3552,2.800991088,166.2533862,100.0,50.0
59.58315,2.800917457,166.887485,100.0,50.0
59.8111,2.800843826,167.5215501,100.0,50.0
60.03905,2.800770193,168.1555817,100.0,50.0
60.267,2.800696559,168.7895795,100.0,50.0
60.49495,2.800622925,169.4235438,100.0,50.0
60.7229,2.800549289,170.0574744,100.0,50.0
60.95085,2.800475652,170.6913714,100.0,50.0
61.1788,2.800402014,171.3252348,100.0,50.0
61.40675,2.800328375,171.9590645,100.0,50.0
61.6347,2.800254735,172.5928605,100.0,50.0
61.86265,2.800181094,173.226623,100.0,50.0
62.0906,2.800107451,173.8603517,100.0,50.0
62.31855,2.800033808,174.4940469,100.0,50.0
62.5465,2.799960163,175.1277083,100.0,50.0
62.77445,2.799886516,175.7613361,100.0,50.0
63.0024,2.799812869,176.3949303,100.0,50.0
63.23035,2.79973922,177.0284908,100.0,50.0
63.4583,2.799665569,177.6620176,100.0,50.0
63.68625,2.799591918,178.2955108,100.0,50.0
63.9142,2.799518264,178.9289702,100.0,50.0
64.14215,2.799444609,179.562396,100.0,50.0
64.3701,2.799370953,180.1957882,100.0,50.0
64.59805,2.799297295,180.8291466,100.0,50.0
64.826,2.799223635,181.4624714,100.0,50.0
65.05395,2.799149974,182.0957624,100.0,50.0
65.2819,2.799076311,182.7290198,100.0,50.0
65.50985,2.799002646,183.3622435,100.0,50.0
65.7378,2.798928979,183.9954335,100.0,50.0
65.96575,2.798855311,184.6285897,100.0,50.0
66.1937,2.798781641,185.2617123,100.0,50.0
66.42165,2.798707968,185.8948011,100.0,50.0
66.6496,2.798634294,186.5278562,100.0,50.0
66.87755,2.798560617,187.1608776,100.0,50.0
67.1055,2.798486939,187.7938653,100.0,50.0
67.33345,2.798413258,188.4268192,100.0,50.0
67.5614,2.798339575,189.0597394,100.0,50.0
67.78935,2.79826589,189.6926258,100.0,50.0
68.0173,2.798192203,190.3254785,100.0,50.0
68.24525,2.798118513,190.9582974,100.0,50.0
68.4732,2.79804482,191.5910826,100.0,50.0
68.70115,2.797971126,192.223834,100.0,50.0
68.9291,2.797897428,192.8565516,100.0,50.0
69.15705,2.797823728,193.4892354,100.0,50.0
69.385,2.797750025,194.1218855,100.0,50.0
69.61295,2.79767632,194.7545017,100.0,50.0
69.8409,2.797602611,195.3870842,100.0,50.0
70.06885,2.7975289,196.0196328,100.0,50.0
70.2968,2.797455185,196.6521477,100.0,50.0
70.52475,2.797381468,197.2846287,100.0,50.0
70.7527,2.797307747,197.9170758,100.0,50.0
70.98065,2.797234023,198.5494892,100.0,50.0
71.2086,2.797160296,199.1818687,100.0,50.0
71.43655,2.797086565,199.8142143,100.0,50.0
71.6645,2.797012831,200.446526,100.0,50.0
71.89245,2.796939093,201.0788039,100.0,50.0
72.1204,2.796865352,201.7110479,100.0,50.0
72.34835,2.796791607,202.343258,100.0,50.0
72.5763,2.796717858,202.9754343,100.0,50.0
72.80425,2.796644105,203.6075766,100.0,50.0
73.0322,2.796570347,204.2396849,100.0,50.0
73.26015,2.796496586,204.8717594,100.0,50.0
73.4881,2.79642282,205.5037999,100.0,50.0
73.71605,2.79634905,206.1358064,100.0,50.0
73.944,2.796275276,206.767779,100.0,50.0
74.17195,2.796201497,207.3997176,100.0,50.0
74.3999,2.796127713,208.0316222,100.0,50.0
74.62785,2.796053924,208.6634928,100.0,50.0
74.8558,2.79598013,209.2953294,100.0,50.0
75.08375,2.795906331,209.927132,100.0,50.0
75.3117,2.795832527,210.5589005,100.0,50.0
75.53965,2.795758718,211.190635,100.0,50.0
75.7676,2.795684903,211.8223354,100.0,50.0
75.99555,2.795611082,212.4540018,100.0,50.0
76.2235,2.795537255,213.085634,100.0,50.0
76.45145,2.795463423,213.7172321,100.0,50.0
76.6794,2.795389584,214.3487961,100.0,50.0
76.90735,2.795315739,214.9803259,100.0,50.0
77.1353,2.795241888,215.6118216,100.0,50.0
77.36325,2.79516803,216.2432831,100.0,50.0
77.5912,2.795094165,216.8747104,100.0,50.0
77.81915,2.795020294,217.5061035,100.0,50.0
78.0471,2.794946415,218.1374623,100.0,50.0
78.27505,2.794872529,218.7687869,100.0,50.0
78.503,2.794798635,219.4000772,100.0,50.0
78.73095,2.794724734,220.0313333,100.0,50.0
78.9589,2.794650825,220.662555,100.0,50.0
79.18685,2.794576907,221.2937424,100.0,50.0
79.4148,2.794502982,221.9248954,100.0,50.0
79.64275,2.794429048,222.556014,100.0,50.0
79.8707,2.794355105,223.1870983,100.0,50.0
80.09865,2.794281153,223.8181481,100.0,50.0
80.3266,2.794207192,224.4491634,100.0,50.0
80.55455,2.794133222,225.0801443,100.0,50.0
80.7825,2.794059242,225.7110907,100.0,50.0
81.01045,2.793985252,226.3420026,100.0,50.0
81.2384,2.793911252,226.9728798,100.0,50.0
81.46635,2.793837241,227.6037225,100.0,50.0
81.6943,2.79376322,228.2345306,100.0,50.0
81.92225,2.793689188,228.8653041,100.0,50.0
82.1502,2.793615145,229.4960429,100.0,50.0
82.37815,2.79354109,230.1267469,100.0,50.0
82.6061,2.793467023,230.7574162,100.0,50.0
82.83405,2.793392944,231.3880508,100.0,50.0
83.062,2.793318853,232.0186505,100.0,50.0
83.28995,2.793244749,232.6492155,100.0,50.0
83.5179,2.793170631,233.2797455,100.0,50.0
83.74585,2.793096501,233.9102406,100.0,50.0
83.9738,2.793022356,234.5407008,100.0,50.0
84.20175,2.792948198,235.1711259,100.0,50.0
84.4297,2.792874025,235.8015161,100.0,50.0
84.65765,2.792799837,236.4318711,100.0,50.0
84.8856,2.792725634,237.0621911,100.0,50.0
85.11355,2.792651415,237.6924759,100.0,50.0
85.3415,2.79257718,238.3227254,100.0,50.0
85.56945,2.792502929,238.9529398,100.0,50.0
85.7974,2.792428661,239.5831188,100.0,50.0
86.02535,2.792354375,240.2132625,100.0,50.0
86.2533,2.792280072,240.8433708,100.0,50.0
86.48125,2.792205751,241.4734436,100.0,50.0
86.7092,2.792131411,242.1034809,100.0,50.0
86.93715,2.792057052,242.7334827,100.0,50.0
87.1651,2.791982673,243.3634489,100.0,50.0
87.39305,2.791908274,243.9933794,100.0,50.0
87.621,2.791833854,244.6232741,100.0,50.0
87.84895,2.791759413,245.2531331,100.0,50.0
88.0769,2.79168495,245.8829562,100.0,50.0
88.30485,2.791610466,246.5127434,100.0,50.0
88.5328,2.791535958,247.1424946,100.0,50.0
88.76075,2.791461426,247.7722098,100.0,50.0
88.9887,2.791386871,248.4018889,100.0,50.0
89.21665,2.791312291,249.0315317,100.0,50.0
89.4446,2.791237686,249.6611383,100.0,50.0
89.67255,2.791163055,250.2907086,100.0,50.0
89.9005,2.791088397,250.9202424,100.0,50.0
90.12845,2.791013711,251.5497397,100.0,50.0
90.3564,2.790938998,252.1792005,100.0,50.0
90.58435,2.790864256,252.8086246,100.0,50.0
90.8123,2.790789485,253.4380119,100.0,50.0
91.04025,2.790714683,254.0673624,100.0,50.0
91.2682,2.79063985,254.696676,100.0,50.0
91.49615,2.790564986,255.3259525,100.0,50.0
91.7241,2.790490088,255.9551919,100.0,50.0
91.95205,2.790415158,256.5843941,100.0,50.0
92.18,2.790340193,257.213559,100.0,50.0
92.40795,2.790265193,257.8426864,100.0,50.0
92.6359,2.790190157,258.4717763,100.0,50.0
92.86385,2.790115083,259.1008286,100.0,50.0
93.0918,2.790039972,259.7298431,100.0,50.0
93.31975,2.789964822,260.3588197,100.0,50.0
93.5477,2.789889632,260.9877583,100.0,50.0
93.77565,2.7898144,261.6166588,100.0,50.0
94.0036,2.789739127,262.245521,100.0,50.0
94.23155,2.789663811,262.8743449,100.0,50.0
94.4595,2.78958845,263.5031302,100.0,50.0
94.68745,2.789513045,264.1318769,100.0,50.0
94.9154,2.789437592,264.7605848,100.0,50.0
95.14335,2.789362092,265.3892538,100.0,50.0
95.3713,2.789286543,266.0178837,100.0,50.0
95.59925,2.789210944,266.6464743,100.0,50.0
95.8272,2.789135293,267.2750255,100.0,50.0
96.05515,2.789059589,267.9035372,100.0,50.0
96.2831,2.788983831,268.5320091,100.0,50.0
96.51105,2.788908018,269.1604412,100.0,50.0
96.739,2.788832148,269.7888331,100.0,50.0
96.96695,2.788756219,270.4171848,100.0,50.0
97.1949,2.78868023,271.0454961,100.0,50.0
97.42285,2.78860418,271.6737667,100.0,50.0
97.6508,2.788528067,272.3019965,100.0,50.0
97.87875,2.788451889,272.9301853,100.0,50.0
98.1067,2.788375644,273.5583328,100.0,50.0
98.33465,2.788299332,274.1864389,100.0,50.0
98.5626,2.78822295,274.8145033,100.0,50.0
98.79055,2.788146496,275.4425258,100.0,50.0
99.0185,2.788069969,276.0705062,100.0,50.0
99.24645,2.787993366,276.6984442,100.0,50.0
99.4744,2.787916687,277.3263396,100.0,50.0
99.70235,2.787839928,277.9541922,100.0,50.0
99.9303,2.787763087,278.5820016,100.0,50.0
100.15825,2.787686164,279.2097677,100.0,50.0
100.3862,2.787609154,279.8374901,100.0,50.0
100.61415,2.787532058,280.4651686,100.0,50.0
100.8421,2.787454871,281.0928028,100.0,50.0
101.07005,2.787377592,281.7203926,100.0,50.0
101.298,2.787300218,282.3479375,100.0,50.0
101.52595,2.787222747,282.9754373,100.0,50.0
101.7539,2.787145177,283.6028916,100.0,50.0
101.98185,2.787067505,284.2303002,100.0,50.0
102.2098,2.786989728,284.8576627,100.0,50.0
102.43775,2.786911843,285.4849787,100.0,50.0
102.6657,2.786833848,286.1122478,100.0,50.0
102.89365,2.786755741,286.7394698,100.0,50.0
103.1216,2.786677517,287.3666443,100.0,50.0
103.34955,2.786599175,287.9937708,100.0,50.0
103.5775,2.78652071,288.6208489,100.0,50.0
103.80545,2.786442121,289.2478783,100.0,50.0
104.0334,2.786363403,289.8748585,100.0,50.0
104.26135,2.786284554,290.5017891,100.0,50.0
104.4893,2.78620557,291.1286697,100.0,50.0
104.71725,2.786126447,291.7554997,100.0,50.0
104.9452,2.786047183,292.3822788,100.0,50.0
105.17315,2.785967773,293.0090065,100.0,50.0
105.4011,2.785888213,293.6356822,100.0,50.0
105.62905,2.785808501,294.2623054,100.0,50.0
105.857,2.785728631,294.8888757,100.0,50.0
106.08495,2.7856486,295.5153925,100.0,50.0
106.3129,2.785568404,296.1418552,100.0,50.0
106.54085,2.785488038,296.7682633,100.0,50.0
106.7688,2.785407499,297.3946162,100.0,50.0
106.99675,2.785326781,298.0209133,100.0,50.0
107.2247,2.78524588,298.6471539,100.0,50.0
107.45265,2.785164792,299.2733376,100.0,50.0
107.6806,2.785083511,299.8994635,100.0,50.0
107.90855,2.785002033,300.5255311,100.0,50.0
108.1365,2.784920353,301.1515397,100.0,50.0
108.36445,2.784838465,301.7774885,100.0,50.0
108.5924,2.784756363,302.4033769,100.0,50.0
108.82035,2.784674044,303.0292041,100.0,50.0
109.0483,2.7845915,303.6549693,100.0,50.0
109.27625,2.784508727,304.2806718,100.0,50.0
109.5042,2.784425718,304.9063107,100.0,50.0
109.73215,2.784342468,305.5318853,100.0,50.0
109.9601,2.784258969,306.1573947,100.0,50.0
110.18805,2.784175216,306.7828379,100.0,50.0
110.416,2.784091203,307.4082142,100.0,50.0
110.64395,2.784006921,308.0335226,100.0,50.0
110.8719,2.783922366,308.6587622,100.0,50.0
111.09985,2.783837529,309.2839319,100.0,50.0
111.3278,2.783752404,309.9090308,100.0,50.0
