V,I,P,Irr,T
1.0,1.410166031,1.410166031,100,50
1.22795,1.409884777,1.731268012,100,50
1.4559,1.409847934,2.052597608,100,50
1.68385,1.409811092,2.373910407,100,50
1.9118,1.409774249,2.69520641,100,50
2.13975,1.409737407,3.016485617,100,50
2.3677,1.409700565,3.337748027,100,50
2.59565,1.409663722,3.65899364,100,50
2.8236,1.40962688,3.980222457,100,50
3.05155,1.409590037,4.301434478,100,50
3.2795,1.409553195,4.622629702,100,50
3.50745,1.409516352,4.94380813,100,50
3.7354,1.40947951,5.264969761,100,50
3.96335,1.409442667,5.586114595,100,50
4.1913,1.409405825,5.907242634,100,50
4.41925,1.409368982,6.228353875,100,50
4.6472,1.40933214,6.549448321,100,50
4.87515,1.409295297,6.870525969,100,50
5.1031,1.409258455,7.191586821,100,50
5.33105,1.409221612,7.512630877,100,50
5.559,1.40918477,7.833658136,100,50
5.78695,1.409147928,8.154668599,100,50
6.0149,1.409111085,8.475662266,100,50
6.24285,1.409074243,8.796639135,100,50
6.4708,1.4090374,9.117599209,100,50
6.69875,1.409000558,9.438542485,100,50
6.9267,1.408963715,9.759468966,100,50
7.15465,1.408926873,10.08037865,100,50
7.3826,1.40889003,10.40127154,100,50
7.61055,1.408853188,10.72214763,100,50
7.8385,1.408816345,11.04300692,100,50
8.06645,1.408779503,11.36384942,100,50
8.2944,1.40874266,11.68467512,100,50
8.52235,1.408705818,12.00548403,100,50
8.7503,1.408668975,12.32627613,100,50
8.97825,1.408632133,12.64705145,100,50
9.2062,1.40859529,12.96780996,100,50
9.43415,1.408558448,13.28855168,100,50
9.6621,1.408521605,13.6092766,100,50
9.89005,1.408484763,13.92998473,100,50
10.118,1.40844792,14.25067606,100,50
10.34595,1.408411078,14.57135059,100,50
10.5739,1.408374235,14.89200833,100,50
10.80185,1.408337393,15.21264927,100,50
11.0298,1.40830055,15.53327341,100,50
11.25775,1.408263708,15.85388076,100,50
11.4857,1.408226865,16.17447131,100,50
11.71365,1.408190023,16.49504506,100,50
11.9416,1.40815318,16.81560202,100,50
12.16955,1.408116338,17.13614218,100,50
12.3975,1.408079495,17.45666554,100,50
12.62545,1.408042653,17.77717211,100,50
12.8534,1.40800581,18.09766188,100,50
13.08135,1.407968968,18.41813485,100,50
13.3093,1.407932125,18.73859103,100,50
13.53725,1.407895282,19.05903041,100,50
13.7652,1.40785844,19.379453,100,50
13.99315,1.407821597,19.69985879,100,50
14.2211,1.407784755,20.02024778,100,50
14.44905,1.407747912,20.34061997,100,50
14.677,1.40771107,20.66097537,100,50
14.90495,1.407674227,20.98131397,100,50
15.1329,1.407637385,21.30163578,100,50
15.36085,1.407600542,21.62194079,100,50
15.5888,1.407563699,21.942229,100,50
15.81675,1.407526857,22.26250041,100,50
16.0447,1.407490014,22.58275503,100,50
16.27265,1.407453172,22.90299286,100,50
16.5006,1.407416329,23.22321388,100,50
16.72855,1.407379487,23.54341811,100,50
16.9565,1.407342644,23.86360554,100,50
17.18445,1.407305801,24.18377618,100,50
17.4124,1.407268959,24.50393002,100,50
17.64035,1.407232116,24.82406706,100,50
17.8683,1.407195274,25.14418731,100,50
18.09625,1.407158431,25.46429076,100,50
18.3242,1.407121588,25.78437741,100,50
18.55215,1.407084746,26.10444727,100,50
18.7801,1.407047903,26.42450033,100,50
19.00805,1.407011061,26.74453659,100,50
19.236,1.406974218,27.06455606,100,50
19.46395,1.406937375,27.38455873,100,50
19.6919,1.406900533,27.7045446,100,50
19.91985,1.40686369,28.02451367,100,50
20.1478,1.406826847,28.34446595,100,50
20.37575,1.406790005,28.66440144,100,50
20.6037,1.406753162,28.98432012,100,50
20.83165,1.406716319,29.30422201,100,50
21.0596,1.406679477,29.62410711,100,50
21.28755,1.406642634,29.9439754,100,50
21.5155,1.406605791,30.2638269,100,50
21.74345,1.406568949,30.5836616,100,50
21.9714,1.406532106,30.90347951,100,50
22.19935,1.406495263,31.22328062,100,50
22.4273,1.40645842,31.54306493,100,50
22.65525,1.406421578,31.86283245,100,50
22.8832,1.406384735,32.18258317,100,50
23.11115,1.406347892,32.50231709,100,50
23.3391,1.406311049,32.82203421,100,50
23.56705,1.406274207,33.14173454,100,50
23.795,1.406237364,33.46141808,100,50
24.02295,1.406200521,33.78108481,100,50
24.2509,1.406163678,34.10073475,100,50
24.47885,1.406126836,34.42036789,100,50
24.7068,1.406089993,34.73998423,100,50
24.93475,1.40605315,35.05958378,100,50
25.1627,1.406016307,35.37916653,100,50
25.39065,1.405979464,35.69873249,100,50
25.6186,1.405942621,36.01828164,100,50
25.84655,1.405905779,36.337814,100,50
26.0745,1.405868936,36.65732957,100,50
26.30245,1.405832093,36.97682833,100,50
26.5304,1.40579525,37.2963103,100,50
26.75835,1.405758407,37.61577547,100,50
26.9863,1.405721564,37.93522385,100,50
27.21425,1.405684721,38.25465543,100,50
27.4422,1.405647878,38.57407021,100,50
27.67015,1.405611035,38.89346819,100,50
27.8981,1.405574192,39.21284938,100,50
28.12605,1.405537349,39.53221377,100,50
28.354,1.405500506,39.85156136,100,50
28.58195,1.405463663,40.17089215,100,50
28.8099,1.40542682,40.49020615,100,50
29.03785,1.405389977,40.80950335,100,50
29.2658,1.405353134,41.12878376,100,50
29.49375,1.405316291,41.44804737,100,50
29.7217,1.405279448,41.76729417,100,50
29.94965,1.405242605,42.08652419,100,50
30.1776,1.405205762,42.4057374,100,50
30.40555,1.405168919,42.72493382,100,50
30.6335,1.405132076,43.04411344,100,50
30.86145,1.405095232,43.36327626,100,50
31.0894,1.405058389,43.68242229,100,50
31.31735,1.405021546,44.00155152,100,50
31.5453,1.404984703,44.32066395,100,50
31.77325,1.40494786,44.63975958,100,50
32.0012,1.404911016,44.95883842,100,50
32.22915,1.404874173,45.27790045,100,50
32.4571,1.40483733,45.59694569,100,50
32.68505,1.404800486,45.91597414,100,50
32.913,1.404763643,46.23498578,100,50
33.14095,1.4047268,46.55398063,100,50
33.3689,1.404689956,46.87295868,100,50
33.59685,1.404653113,47.19191993,100,50
33.8248,1.404616269,47.51086439,100,50
34.05275,1.404579426,47.82979204,100,50
34.2807,1.404542582,48.1487029,100,50
34.50865,1.404505739,48.46759696,100,50
34.7366,1.404468895,48.78647422,100,50
34.96455,1.404432052,49.10533469,100,50
35.1925,1.404395208,49.42417836,100,50
35.42045,1.404358364,49.74300522,100,50
35.6484,1.404321521,50.06181529,100,50
