V,I,P,Irr,T
1.0,2.807745803,2.807745803,100,40
1.22795,2.807124031,3.447007954,100,40
1.4559,2.807041432,4.08677162,100,40
1.68385,2.806958832,4.726497629,100,40
1.9118,2.806876232,5.366185981,100,40
2.13975,2.806793632,6.005836675,100,40
2.3677,2.806711033,6.645449712,100,40
2.59565,2.806628433,7.285025092,100,40
2.8236,2.806545833,7.924562814,100,40
3.05155,2.806463233,8.56406288,100,40
3.2795,2.806380634,9.203525288,100,40
3.50745,2.806298034,9.842950038,100,40
3.7354,2.806215434,10.48233713,100,40
3.96335,2.806132834,11.12168657,100,40
4.1913,2.806050234,11.76099835,100,40
4.41925,2.805967635,12.40027247,100,40
4.6472,2.805885035,13.03950893,100,40
4.87515,2.805802435,13.67870774,100,40
5.1031,2.805719835,14.31786889,100,40
5.33105,2.805637236,14.95699238,100,40
5.559,2.805554636,15.59607822,100,40
5.78695,2.805472036,16.2351264,100,40
6.0149,2.805389436,16.87413692,100,40
6.24285,2.805306837,17.51310978,100,40
6.4708,2.805224237,18.15204499,100,40
6.69875,2.805141637,18.79094254,100,40
6.9267,2.805059037,19.42980243,100,40
7.15465,2.804976437,20.06862467,100,40
7.3826,2.804893838,20.70740925,100,40
7.61055,2.804811238,21.34615617,100,40
7.8385,2.804728638,21.98486543,100,40
8.06645,2.804646038,22.62353704,100,40
8.2944,2.804563439,23.26217098,100,40
8.52235,2.804480839,23.90076728,100,40
8.7503,2.804398239,24.53932591,100,40
8.97825,2.804315639,25.17784689,100,40
9.2062,2.804233039,25.81633021,100,40
9.43415,2.80415044,26.45477587,100,40
9.6621,2.80406784,27.09318387,100,40
9.89005,2.80398524,27.73155422,100,40
10.118,2.80390264,28.36988691,100,40
10.34595,2.80382004,29.00818195,100,40
10.5739,2.803737441,29.64643932,100,40
10.80185,2.803654841,30.28465904,100,40
11.0298,2.803572241,30.9228411,100,40
11.25775,2.803489641,31.56098551,100,40
11.4857,2.803407041,32.19909226,100,40
11.71365,2.803324442,32.83716135,100,40
11.9416,2.803241842,33.47519278,100,40
12.16955,2.803159242,34.11318655,100,40
12.3975,2.803076642,34.75114267,100,40
12.62545,2.802994042,35.38906113,100,40
12.8534,2.802911443,36.02694194,100,40
13.08135,2.802828843,36.66478508,100,40
13.3093,2.802746243,37.30259057,100,40
13.53725,2.802663643,37.9403584,100,40
13.7652,2.802581043,38.57808858,100,40
13.99315,2.802498443,39.21578109,100,40
14.2211,2.802415844,39.85343595,100,40
14.44905,2.802333244,40.49105316,100,40
14.677,2.802250644,41.1286327,100,40
