V_1,I_1,P_1,V_2,I_2,P_2,Irr,T
1.94179,1.403853,2.725987,1.94179,1.403893,2.726065,100,40
2.625601,1.403426,3.684836,2.625601,1.403533,3.685119,100,40
3.309439,1.403288,4.644096,3.309439,1.403423,4.644543,100,40
3.993276,1.403151,5.603168,3.993276,1.403313,5.603816,100,40
4.677114,1.403013,6.562051,4.677114,1.403202,6.562938,100,40
5.360951,1.402875,7.520747,5.360951,1.403092,7.521909,100,40
6.044789,1.402738,8.479254,6.044789,1.402982,8.48073,100,40
6.728626,1.4026,9.437574,6.728626,1.402872,9.439399,100,40
7.412464,1.402463,10.395705,7.412464,1.402761,10.397918,100,40
8.096301,1.402325,11.353648,8.096301,1.402651,11.356287,100,40
8.780139,1.402188,12.311403,8.780139,1.402541,12.314504,100,40
9.463976,1.40205,13.268969,9.463976,1.402431,13.272571,100,40
10.147814,1.401913,14.226348,10.147814,1.40232,14.230486,100,40
10.831651,1.401775,15.183539,10.831651,1.40221,15.188252,100,40
11.515489,1.401638,16.140541,11.515489,1.4021,16.145866,100,40
12.199326,1.4015,17.097356,12.199326,1.40199,17.103329,100,40
12.883163,1.401362,18.053982,12.883164,1.401879,18.060642,100,40
13.567001,1.401225,19.01042,13.567001,1.401769,19.017804,100,40
14.250838,1.401087,19.96667,14.250839,1.401659,19.974815,100,40
14.934676,1.40095,20.922732,14.934676,1.401549,20.931675,100,40
15.618513,1.400812,21.878606,15.618514,1.401438,21.888384,100,40
16.302351,1.400675,22.834291,16.302351,1.401328,22.844943,100,40
16.986188,1.400537,23.789789,16.986189,1.401218,23.801351,100,40
17.670026,1.4004,24.745098,17.670026,1.401108,24.757608,100,40
18.353863,1.400262,25.700219,18.353864,1.400997,25.713714,100,40
19.037701,1.400125,26.655153,19.037701,1.400887,26.66967,100,40
19.721538,1.399987,27.609898,19.721539,1.400777,27.625475,100,40
20.405376,1.399849,28.564455,20.405376,1.400667,28.581128,100,40
21.089213,1.399712,29.518823,21.089214,1.400556,29.536632,100,40
21.773051,1.399574,30.473004,21.773051,1.400446,30.491984,100,40
22.456888,1.399437,31.426997,22.456889,1.400336,31.447185,100,40
23.140726,1.399299,32.380801,23.140726,1.400226,32.402236,100,40
23.824563,1.399162,33.334418,23.824564,1.400115,33.357136,100,40
24.5084,1.399024,34.287846,24.508401,1.400005,34.311885,100,40
25.192238,1.398887,35.241086,25.192239,1.399895,35.266484,100,40
25.876075,1.398749,36.194138,25.876076,1.399785,36.220931,100,40
26.559913,1.398612,37.147002,26.559914,1.399674,37.175228,100,40
27.24375,1.398474,38.099678,27.243751,1.399564,38.129374,100,40
27.927588,1.398336,39.052165,27.927589,1.399454,39.083369,100,40
28.611425,1.398199,40.004465,28.611426,1.399343,40.037213,100,40
29.295263,1.398061,40.956576,29.295264,1.399233,40.990907,100,40
29.9791,1.397924,41.9085,29.979101,1.399123,41.94445,100,40
30.662938,1.397786,42.860235,30.662939,1.399013,42.897842,100,40
31.346775,1.397649,43.811782,31.346776,1.398902,43.851083,100,40
32.030613,1.397511,44.763141,32.030614,1.398792,44.804173,100,40
32.71445,1.397374,45.714312,32.714451,1.398682,45.757113,100,40
33.398288,1.397236,46.665294,33.398289,1.398572,46.709902,100,40
34.082125,1.397099,47.616089,34.082126,1.398461,47.66254,100,40
34.765963,1.396961,48.566695,34.765964,1.398351,48.615027,100,40
35.4498,1.396823,49.517113,35.449801,1.398241,49.567364,100,40
36.133638,1.396686,50.467344,36.133639,1.398131,50.519549,100,40
36.817475,1.396548,51.417386,36.817476,1.39802,51.471584,100,40
37.501312,1.396411,52.36724,37.501314,1.39791,52.423468,100,40
38.18515,1.396273,53.316905,38.185151,1.3978,53.375201,100,40
38.868987,1.396136,54.266383,38.868989,1.39769,54.326784,100,40
39.552825,1.395998,55.215672,39.552826,1.397579,55.278215,100,40
40.236662,1.395861,56.164774,40.236664,1.397469,56.229496,100,40
40.9205,1.395723,57.113687,40.920501,1.397359,57.180626,100,40
41.604337,1.395586,58.062412,41.604339,1.397249,58.131605,100,40
42.288175,1.395448,59.010949,42.288176,1.397138,59.082434,100,40
42.972012,1.39531,59.959298,42.972014,1.397028,60.033111,100,40
43.65585,1.395173,60.907458,43.655851,1.396918,60.983638,100,40
44.339687,1.395035,61.855431,44.339689,1.396808,61.934014,100,40
45.023525,1.394898,62.803215,45.023526,1.396697,62.884239,100,40
45.707362,1.39476,63.750811,45.707364,1.396587,63.834314,100,40
46.3912,1.394623,64.698219,46.391201,1.396477,64.784237,100,40
47.075037,1.394485,65.645438,47.075039,1.396367,65.73401,100,40
47.758875,1.394348,66.59247,47.758876,1.396256,66.683632,100,40
48.442712,1.39421,67.539313,48.442714,1.396146,67.633103,100,40
49.126549,1.394072,68.485968,49.126551,1.396036,68.582424,100,40
49.810387,1.393935,69.432434,49.810389,1.395926,69.531593,100,40
50.494224,1.393797,70.378713,50.494226,1.395815,70.480612,100,40
51.178062,1.39366,71.324803,51.178064,1.395705,71.42948,100,40
51.861899,1.393522,72.270705,51.861901,1.395595,72.378197,100,40
52.545737,1.393385,73.216418,52.545739,1.395484,73.326763,100,40
53.229574,1.393247,74.161943,53.229576,1.395374,74.275179,100,40
53.913412,1.393109,75.10728,53.913414,1.395264,75.223443,100,40
54.597249,1.392972,76.052429,54.597251,1.395154,76.171557,100,40
55.281087,1.392834,76.997389,55.281089,1.395043,77.11952,100,40
55.964924,1.392697,77.94216,55.964926,1.394933,78.067332,100,40
56.648762,1.392559,78.886743,56.648764,1.394823,79.014993,100,40
57.332599,1.392421,79.831137,57.332601,1.394713,79.962503,100,40
58.016437,1.392284,80.775343,58.016439,1.394602,80.909863,100,40
58.700274,1.392146,81.71936,58.700276,1.394492,81.857072,100,40
59.384112,1.392009,82.663188,59.384114,1.394382,82.804129,100,40
60.067949,1.391871,83.606828,60.067951,1.394272,83.751036,100,40
60.751786,1.391733,84.550279,60.751789,1.394161,84.697792,100,40
61.435624,1.391596,85.49354,61.435626,1.394051,85.644397,100,40
62.119461,1.391458,86.436613,62.119464,1.393941,86.590851,100,40
62.803299,1.39132,87.379496,62.803301,1.39383,87.537155,100,40
63.487136,1.391182,88.322191,63.487139,1.39372,88.483307,100,40
64.170974,1.391045,89.264695,64.170976,1.39361,89.429308,100,40
64.854811,1.390907,90.20701,64.854814,1.3935,90.375159,100,40
65.538649,1.390769,91.149136,65.538651,1.393389,91.320858,100,40
66.222486,1.390631,92.091071,66.222489,1.393279,92.266407,100,40
66.906324,1.390494,93.032817,66.906326,1.393169,93.211804,100,40
67.590161,1.390356,93.974372,67.590164,1.393058,94.157051,100,40
68.273999,1.390218,94.915736,68.274001,1.392948,95.102146,100,40
68.957836,1.39008,95.85691,68.957839,1.392838,96.047091,100,40
69.641673,1.389942,96.797892,69.641676,1.392728,96.991884,100,40
70.325511,1.389804,97.738683,70.325514,1.392617,97.936526,100,40
71.009348,1.389666,98.679282,71.009351,1.392507,98.881017,100,40
71.693186,1.389528,99.619688,71.693189,1.392397,99.825357,100,40
72.377023,1.38939,100.559902,72.377026,1.392286,100.769546,100,40
73.060861,1.389252,101.499922,73.060864,1.392176,101.713583,100,40
73.744698,1.389113,102.439749,73.744701,1.392066,102.657469,100,40
74.428536,1.388975,103.379381,74.428538,1.391955,103.601204,100,40
75.112373,1.388837,104.318818,75.112376,1.391845,104.544788,100,40
75.79621,1.388698,105.258058,75.796213,1.391735,105.48822,100,40
76.480048,1.38856,106.197102,76.480051,1.391624,106.4315,100,40
77.163885,1.388421,107.135947,77.163888,1.391514,107.374629,100,40
