I_alpha,I_beta,Irradiance,Temperature
-3.40261008277466,3.41978038559736,300,25
-3.51621109170614,3.25472226754125,300,25
-3.63386442512727,3.0757369371242,300,25
-3.74695561985534,2.88145342037432,300,25
-3.84752515453959,2.68658095726695,300,25
-3.93155029090498,2.50766740560289,300,25
-4.00166658262081,2.3383778740261,300,25
-4.05546107370359,2.16783551944643,300,25
-4.09608299269634,1.99501383636411,300,25
-4.12931997403353,1.82372348745944,300,25
-4.16256990548548,1.6614397029179,300,25
-4.19879102030172,1.5092144671542,300,25
-4.23515277768969,1.35950134567014,300,25
-4.27304613570413,1.21345175711344,300,25
-4.31515237325121,1.07557253177786,300,25
-4.36036421650001,0.94452365650155,300,25
-4.40263553935443,0.81066741629878,300,25
-4.44147476324789,0.673826840601668,300,25
-4.47918785086012,0.538144253855869,300,25
-4.52043096213452,0.411065828205054,300,25
-4.56655929497892,0.293449603146672,300,25
-4.61384246131667,0.176513690277621,300,25
-4.66395777067618,0.0601871974250275,300,25
-4.72073853948464,-0.0522856264008245,300,25
-4.78493966901164,-0.163144895876002,300,25
-4.84572719323589,-0.283374391382771,300,25
-4.88945303801962,-0.413877285162984,300,25
-4.9133923807111,-0.550731207510852,300,25
-4.92153389021407,-0.686591519370643,300,25
-4.91861447143541,-0.820253276450873,300,25
-4.89782606721959,-0.960304327388959,300,25
-4.84767718113599,-1.10626709491466,300,25
-4.77109701155663,-1.25441785480306,300,25
-4.67842701308865,-1.39860482083241,300,25
-4.58042447388589,-1.53955781760315,300,25
-4.47476363556743,-1.68858116165614,300,25
-4.35501199322923,-1.84467401740318,300,25
-4.22961601296775,-1.9987218997564,300,25
-4.11003292526465,-2.14300382133261,300,25
-4.00634480510689,-2.27610115580004,300,25
-3.91484508613122,-2.40562937921891,300,25
-3.82297194525606,-2.53424008253773,300,25
-3.72892967839937,-2.66309719707657,300,25
-3.63567133142055,-2.79202419678158,300,25
-3.5405157570633,-2.9198338199352,300,25
-3.43252431299116,-3.04476838380026,300,25
-3.31290736910345,-3.16495434075736,300,25
-3.1890963735307,-3.27883362183547,300,25
-3.07274815690342,-3.38549500836609,300,25
-2.96767515842909,-3.48487551652425,300,25
-2.86712273331368,-3.57781243687707,300,25
-2.7734135776108,-3.6659439108649,300,25
-2.69210874124062,-3.75151406240965,300,25
-2.62097223810352,-3.8371154013508,300,25
-2.54839342982191,-3.9254086347254,300,25
-2.47305232038355,-4.01885490718748,300,25
-2.39873200109473,-4.11951869548348,300,25
-2.32283535412955,-4.22895399449223,300,25
-2.22786368863275,-4.33426754868709,300,25
-2.11084233932392,-4.4281798228762,300,25
-1.97675717181544,-4.50738784261082,300,25
-1.83686749040237,-4.57251661353702,300,25
-1.69578122151057,-4.62764944431375,300,25
-1.55053456484787,-4.67960244747838,300,25
-1.40155012383728,-4.72743680055424,300,25
-1.24845381143568,-4.76333131238435,300,25
-1.09697716129436,-4.7869992873687,300,25
-0.945243520572987,-4.80206581763461,300,25
-0.785087350859137,-4.81541409798289,300,25
-0.61365808895336,-4.82665376310785,300,25
-0.435822060816035,-4.82818086042855,300,25
-0.261076699698238,-4.82061805909277,300,25
-0.084661432456195,-4.80860194834173,300,25
0.096101084495548,-4.79106223068147,300,25
0.285326644814982,-4.76017125426511,300,25
0.480083268286359,-4.71750506807288,300,25
0.673702375323408,-4.6694348761513,300,25
0.857352025560334,-4.62563917297439,300,25
1.02658671056171,-4.58892635150219,300,25
1.18316901108713,-4.55299675168518,300,25
1.32557046503787,-4.51943532352476,300,25
1.45178199885087,-4.49302097308245,300,25
1.56469320882739,-4.47222694073605,300,25
1.67300243956476,-4.4471587131508,300,25
1.78032010126047,-4.41772747508987,300,25
1.8878315265418,-4.38829806774088,300,25
1.99912867365978,-4.35863608059521,300,25
2.12164840622996,-4.32087323544948,300,25
2.25603500847358,-4.27757552620496,300,25
2.39946074149712,-4.23589309126405,300,25
2.546548904032,-4.20607858393235,300,25
2.69517891844208,-4.19173384237633,300,25
2.84566673105176,-4.18047222739543,300,25
2.9894016496417,-4.16089518147931,300,25
3.12058224669049,-4.13166690356638,300,25
3.23955571949949,-4.08935511774035,300,25
3.35473951755363,-4.02526258712377,300,25
3.46633201902368,-3.93581180336589,300,25
3.56754068749919,-3.81378274458655,300,25
3.65619854468293,-3.66663651489855,300,25
